"Step","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val/test_score/GSM8k","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val/test_score/GSM8k__MIN","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val/test_score/GSM8k__MAX","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val/test_score/GSM8k","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val/test_score/GSM8k__MIN","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val/test_score/GSM8k__MAX"
"132","0.6482183472327521","0.6482183472327521","0.6482183472327521","","",""
"136","0.6391205458680819","0.6391205458680819","0.6391205458680819","","",""
"140","0.640636846095527","0.640636846095527","0.640636846095527","","",""
"144","0.6512509476876421","0.6512509476876421","0.6512509476876421","","",""
"148","0.6618650492797574","0.6618650492797574","0.6618650492797574","","",""
"152","0.6626231993934799","0.6626231993934799","0.6626231993934799","","",""
"156","0.6611068991660348","0.6611068991660348","0.6611068991660348","","",""
"160","0.6702047005307051","0.6702047005307051","0.6702047005307051","","",""
"164","0.6770280515542078","0.6770280515542078","0.6770280515542078","","",""
"168","0.6664139499620925","0.6664139499620925","0.6664139499620925","","",""
"172","0.6679302501895376","0.6679302501895376","0.6679302501895376","","",""
"176","0.6603487490523123","0.6603487490523123","0.6603487490523123","","",""
"180","0.6497346474601972","0.6497346474601972","0.6497346474601972","","",""
"184","0.6482183472327521","0.6482183472327521","0.6482183472327521","","",""
"188","0.6664139499620925","0.6664139499620925","0.6664139499620925","","",""
"192","0.6580742987111448","0.6580742987111448","0.6580742987111448","","",""
"196","0.6633813495072024","0.6633813495072024","0.6633813495072024","","",""
"200","0.66565579984837","0.66565579984837","0.66565579984837","","",""
"204","0.6777862016679302","0.6777862016679302","0.6777862016679302","","",""
"208","0.66565579984837","0.66565579984837","0.66565579984837","","",""
"212","0.6747536012130402","0.6747536012130402","0.6747536012130402","","",""
"216","0.6793025018953753","0.6793025018953753","0.6793025018953753","","",""
"220","0.6618650492797574","0.6618650492797574","0.6618650492797574","","",""
"224","0.66565579984837","0.66565579984837","0.66565579984837","","",""
"228","0.6679302501895376","0.6679302501895376","0.6679302501895376","","",""
"232","0.6694465504169825","0.6694465504169825","0.6694465504169825","","",""
"236","0.6709628506444276","0.6709628506444276","0.6709628506444276","","",""
"240","0.6702047005307051","0.6702047005307051","0.6702047005307051","","",""
"244","0.6853677028051555","0.6853677028051555","0.6853677028051555","","",""
"248","0.6853677028051555","0.6853677028051555","0.6853677028051555","","",""
"252","0.6739954510993177","0.6739954510993177","0.6739954510993177","","",""
"256","0.6603487490523123","0.6603487490523123","0.6603487490523123","","",""
