Step,rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/AMC23,rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/AMC23__MAX,rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/AMC23__MIN,rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val_response_length/test_length_correct/AMC23,rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val_response_length/test_length_correct/AMC23__MAX,rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val_response_length/test_length_correct/AMC23__MIN,rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val_response_length/test_length_correct/AMC23,rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val_response_length/test_length_correct/AMC23__MAX,rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val_response_length/test_length_correct/AMC23__MIN
68,385.0,385.0,385.0,448.25,448.25,448.25,512.4545454545455,512.4545454545455,512.4545454545455
72,397.0,397.0,397.0,434.3333333333333,434.3333333333333,434.3333333333333,401.0,401.0,401.0
76,773.4444444444445,773.4444444444445,773.4444444444445,463.5,463.5,463.5,532.2,532.2,532.2
80,888.0,888.0,888.0,587.3333333333334,587.3333333333334,587.3333333333334,707.7777777777778,707.7777777777778,707.7777777777778
84,1102.4,1102.4,1102.4,649.4545454545455,649.4545454545455,649.4545454545455,263.3333333333333,263.3333333333333,263.3333333333333
88,1000.1,1000.1,1000.1,472.2,472.2,472.2,462.1428571428572,462.1428571428572,462.1428571428572
92,988.8333333333334,988.8333333333334,988.8333333333334,500.1428571428572,500.1428571428572,500.1428571428572,380.0,380.0,380.0
96,1189.75,1189.75,1189.75,425.57142857142856,425.57142857142856,425.57142857142856,259.0,259.0,259.0
100,1539.428571428571,1539.428571428571,1539.428571428571,528.9090909090909,528.9090909090909,528.9090909090909,848.6666666666666,848.6666666666666,848.6666666666666
104,2270.0,2270.0,2270.0,490.22222222222223,490.22222222222223,490.22222222222223,380.0,380.0,380.0
108,1612.428571428571,1612.428571428571,1612.428571428571,512.5454545454545,512.5454545454545,512.5454545454545,784.25,784.25,784.25
112,2868.0,2868.0,2868.0,557.9166666666666,557.9166666666666,557.9166666666666,384.25,384.25,384.25
116,1939.5,1939.5,1939.5,473.44444444444446,473.44444444444446,473.44444444444446,447.44444444444446,447.44444444444446,447.44444444444446
120,2707.0,2707.0,2707.0,530.0,530.0,530.0,253.16666666666663,253.16666666666663,253.16666666666663
124,2058.714285714286,2058.714285714286,2058.714285714286,539.1818181818181,539.1818181818181,539.1818181818181,443.375,443.375,443.375
128,2207.75,2207.75,2207.75,526.2142857142857,526.2142857142857,526.2142857142857,490.875,490.875,490.875
132,1900.875,1900.875,1900.875,389.4285714285714,389.4285714285714,389.4285714285714,540.4444444444445,540.4444444444445,540.4444444444445
136,1843.555555555556,1843.555555555556,1843.555555555556,461.6,461.6,461.6,551.8333333333334,551.8333333333334,551.8333333333334
140,1980.0,1980.0,1980.0,545.1666666666666,545.1666666666666,545.1666666666666,491.57142857142856,491.57142857142856,491.57142857142856
144,2027.0,2027.0,2027.0,442.45454545454544,442.45454545454544,442.45454545454544,413.8181818181818,413.8181818181818,413.8181818181818
148,2009.0,2009.0,2009.0,439.9230769230769,439.9230769230769,439.9230769230769,350.22222222222223,350.22222222222223,350.22222222222223
152,2267.3636363636365,2267.3636363636365,2267.3636363636365,374.3,374.3,374.3,410.5,410.5,410.5
156,816.8,816.8,816.8,482.3333333333333,482.3333333333333,482.3333333333333,753.8333333333334,753.8333333333334,753.8333333333334
160,1842.8333333333333,1842.8333333333333,1842.8333333333333,373.6666666666667,373.6666666666667,373.6666666666667,600.5,600.5,600.5
164,2011.9375,2045.375,1978.5,460.3636363636364,460.3636363636364,460.3636363636364,596.8571428571429,596.8571428571429,596.8571428571429
168,2036.1944444444443,2530.5,1541.888888888889,493.6666666666667,493.6666666666667,493.6666666666667,403.375,403.375,403.375
172,2305.6666666666665,2305.6666666666665,2305.6666666666665,930.875,930.875,930.875,351.1666666666667,351.1666666666667,351.1666666666667
176,2208.8,2208.8,2208.8,520.7777777777778,520.7777777777778,520.7777777777778,931.7777777777778,931.7777777777778,931.7777777777778
180,2472.0,2472.0,2472.0,362.3333333333333,362.3333333333333,362.3333333333333,544.8571428571429,544.8571428571429,544.8571428571429
184,2202.8,2202.8,2202.8,957.0,957.0,957.0,458.125,458.125,458.125
