Step,rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val/test_score/AMC23,rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val/test_score/AMC23__MAX,rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val/test_score/AMC23__MIN,rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val/test_score/AMC23,rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val/test_score/AMC23__MAX,rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val/test_score/AMC23__MIN,rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val/test_score/AMC23,rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val/test_score/AMC23__MAX,rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val/test_score/AMC23__MIN
496,,,,0.25,0.25,0.25,0.275,0.275,0.275
500,,,,0.25,0.25,0.25,0.275,0.275,0.275
504,,,,0.35,0.35,0.35,0.15,0.15,0.15
508,,,,0.175,0.175,0.175,0.2,0.2,0.2
512,,,,0.25,0.25,0.25,0.225,0.225,0.225
516,,,,0.2,0.2,0.2,0.175,0.175,0.175
520,,,,0.175,0.175,0.175,0.2,0.2,0.2
524,,,,0.275,0.275,0.275,0.275,0.275,0.275
528,,,,0.2,0.2,0.2,0.275,0.275,0.275
532,,,,0.25,0.25,0.25,0.125,0.125,0.125
536,,,,0.25,0.25,0.25,0.225,0.225,0.225
540,,,,0.225,0.225,0.225,0.175,0.175,0.175
544,,,,0.225,0.225,0.225,0.325,0.325,0.325
548,,,,0.275,0.275,0.275,0.225,0.225,0.225
552,,,,0.275,0.275,0.275,0.175,0.175,0.175
556,,,,0.25,0.25,0.25,0.225,0.225,0.225
560,,,,0.25,0.25,0.25,0.2,0.2,0.2
564,,,,0.2,0.2,0.2,0.25,0.25,0.25
568,,,,0.175,0.175,0.175,0.2,0.2,0.2
572,,,,0.15,0.15,0.15,0.2,0.2,0.2
576,,,,0.175,0.175,0.175,0.25,0.25,0.25
580,,,,0.2,0.2,0.2,0.225,0.225,0.225
584,,,,0.15,0.15,0.15,0.2,0.2,0.2
588,,,,0.25,0.25,0.25,0.25,0.25,0.25
592,,,,0.175,0.175,0.175,0.325,0.325,0.325
596,,,,0.2,0.2,0.2,0.275,0.275,0.275
600,,,,0.275,0.275,0.275,0.2,0.2,0.2
604,,,,0.25,0.25,0.25,0.25,0.25,0.25
608,,,,0.225,0.225,0.225,0.225,0.225,0.225
612,,,,0.225,0.225,0.225,0.225,0.225,0.225
616,,,,0.3,0.3,0.3,0.225,0.225,0.225
620,,,,0.275,0.275,0.275,0.225,0.225,0.225
624,,,,0.2,0.2,0.2,0.175,0.175,0.175
628,,,,0.2,0.2,0.2,0.25,0.25,0.25
632,,,,0.225,0.225,0.225,0.225,0.225,0.225
636,,,,0.225,0.225,0.225,0.175,0.175,0.175
640,,,,0.3,0.3,0.3,0.25,0.25,0.25
644,,,,0.225,0.225,0.225,0.3,0.3,0.3
648,,,,0.25,0.25,0.25,0.275,0.275,0.275
652,,,,0.175,0.175,0.175,0.2,0.2,0.2
656,,,,0.225,0.225,0.225,0.175,0.175,0.175
660,,,,0.225,0.225,0.225,0.15,0.15,0.15
664,,,,0.2,0.2,0.2,0.225,0.225,0.225
668,,,,0.25,0.25,0.25,0.225,0.225,0.225
672,,,,0.175,0.175,0.175,0.275,0.275,0.275
676,,,,0.15,0.15,0.15,0.15,0.15,0.15
680,,,,0.25,0.25,0.25,0.2,0.2,0.2
684,,,,0.125,0.125,0.125,0.15,0.15,0.15
688,,,,0.15,0.15,0.15,0.175,0.175,0.175
692,,,,0.15,0.15,0.15,0.15,0.15,0.15
696,,,,,,,0.15,0.15,0.15
700,,,,,,,0.2,0.2,0.2
704,,,,,,,0.15,0.15,0.15
708,,,,,,,0.1,0.1,0.1
712,,,,,,,0.225,0.225,0.225
716,,,,,,,0.2,0.2,0.2
720,,,,,,,0.25,0.25,0.25
724,,,,,,,0.2,0.2,0.2
728,,,,,,,0.2,0.2,0.2
732,,,,,,,0.2,0.2,0.2
736,,,,,,,0.175,0.175,0.175
740,,,,,,,0.225,0.225,0.225
744,,,,,,,0.25,0.25,0.25
748,,,,,,,0.2,0.2,0.2
752,,,,,,,0.175,0.175,0.175
756,,,,,,,0.275,0.275,0.275
760,,,,,,,0.175,0.175,0.175
764,,,,,,,0.15,0.15,0.15
768,,,,,,,0.175,0.175,0.175
772,,,,,,,0.2,0.2,0.2
776,,,,,,,0.275,0.275,0.275
780,,,,,,,0.2,0.2,0.2
784,,,,,,,0.2,0.2,0.2
788,,,,,,,0.25,0.25,0.25
792,,,,,,,0.275,0.275,0.275
796,,,,,,,0.2,0.2,0.2
800,,,,,,,0.225,0.225,0.225
804,,,,,,,0.2,0.2,0.2
808,,,,,,,0.175,0.175,0.175
812,,,,,,,0.175,0.175,0.175
816,,,,,,,0.2,0.2,0.2
820,,,,,,,0.2,0.2,0.2
824,,,,,,,0.2,0.2,0.2
828,,,,,,,0.15,0.15,0.15
832,,,,,,,0.3,0.3,0.3
836,,,,,,,0.15,0.15,0.15
840,,,,,,,0.175,0.175,0.175
844,,,,,,,0.225,0.225,0.225
848,,,,,,,0.25,0.25,0.25
852,,,,,,,0.25,0.25,0.25
856,,,,,,,0.225,0.225,0.225
860,,,,,,,0.225,0.225,0.225
864,,,,,,,0.15,0.15,0.15
868,,,,,,,0.125,0.125,0.125
872,,,,,,,0.2,0.2,0.2
876,,,,,,,0.25,0.25,0.25
