"Step","rl.grpo_llama.3b_stable.130b_decay.synthqa.030.10B_math.8k_0413_0042 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_stable.130b_decay.synthqa.030.10B_math.8k_0413_0042 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.synthqa.030.10B_math.8k_0413_0042 - val_response_length/test_length_correct/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.synthqa.040.10B_math.8k_0413_0042 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_stable.130b_decay.synthqa.040.10B_math.8k_0413_0042 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.synthqa.040.10B_math.8k_0413_0042 - val_response_length/test_length_correct/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.synthqa.020.10B_math.8k_0413_0040 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_stable.130b_decay.synthqa.020.10B_math.8k_0413_0040 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.synthqa.020.10B_math.8k_0413_0040 - val_response_length/test_length_correct/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.synthqa.010.10B_math.8k_0413_0040 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_stable.130b_decay.synthqa.010.10B_math.8k_0413_0040 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.synthqa.010.10B_math.8k_0413_0040 - val_response_length/test_length_correct/AMC23__MAX"
"200","808.6666666666666","808.6666666666666","808.6666666666666","761.5","761.5","761.5","1261.857142857143","1261.857142857143","1261.857142857143","641.3333333333334","641.3333333333334","641.3333333333334"
"204","489.75","489.75","489.75","683.2857142857143","683.2857142857143","683.2857142857143","1334.0714285714287","1334.0714285714287","1334.0714285714287","1375","1375","1375"
"208","413","413","413","336.8333333333333","336.8333333333333","336.8333333333333","1236","1236","1236","833.7","833.7","833.7"
"212","385.7142857142857","385.7142857142857","385.7142857142857","588.8","588.8","588.8","1078.125","1078.125","1078.125","560.375","560.375","560.375"
"216","246.33333333333334","246.33333333333334","246.33333333333334","1703.6666666666667","1703.6666666666667","1703.6666666666667","1559.75","1559.75","1559.75","1057.5714285714287","1057.5714285714287","1057.5714285714287"
"220","148.28571428571428","148.28571428571428","148.28571428571428","875","875","875","1570.2","1570.2","1570.2","745.75","745.75","745.75"
"224","163","163","163","617.8571428571429","617.8571428571429","617.8571428571429","2026.6666666666667","2026.6666666666667","2026.6666666666667","1031.6","1031.6","1031.6"
"228","365","365","365","586.1666666666666","586.1666666666666","586.1666666666666","1247.8","1247.8","1247.8","","",""
"232","212.625","212.625","212.625","1121.5714285714287","1121.5714285714287","1121.5714285714287","1427.857142857143","1427.857142857143","1427.857142857143","","",""
"236","680.25","680.25","680.25","558.2857142857143","558.2857142857143","558.2857142857143","1400.3636363636363","1400.3636363636363","1400.3636363636363","","",""
"240","368.125","368.125","368.125","471.5","471.5","471.5","","","","","",""
"244","467.8181818181818","467.8181818181818","467.8181818181818","492.8333333333333","492.8333333333333","492.8333333333333","","","","","",""
"248","431.5","431.5","431.5","616.4","616.4","616.4","","","","","",""
"252","402.14285714285717","402.14285714285717","402.14285714285717","897.4","897.4","897.4","","","","","",""
"256","309.8888888888889","309.8888888888889","309.8888888888889","579.6666666666666","579.6666666666666","579.6666666666666","","","","","",""
"260","546.8888888888889","546.8888888888889","546.8888888888889","504","504","504","","","","","",""
"264","762.5714285714286","762.5714285714286","762.5714285714286","392","392","392","","","","","",""
"268","650.5","650.5","650.5","1032.5555555555557","1032.5555555555557","1032.5555555555557","","","","","",""
"272","262.375","262.375","262.375","1116.5555555555557","1116.5555555555557","1116.5555555555557","","","","","",""
"276","161.71428571428572","161.71428571428572","161.71428571428572","1353.2222222222222","1353.2222222222222","1353.2222222222222","","","","","",""
"280","180.85714285714286","180.85714285714286","180.85714285714286","1261.375","1261.375","1261.375","","","","","",""
"284","146.71428571428572","146.71428571428572","146.71428571428572","416.2857142857143","416.2857142857143","416.2857142857143","","","","","",""
"288","228.85714285714286","228.85714285714286","228.85714285714286","891.375","891.375","891.375","","","","","",""
"292","177.125","177.125","177.125","462.625","462.625","462.625","","","","","",""
"296","365.22222222222223","365.22222222222223","365.22222222222223","","","","","","","","",""
