"Step","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val_response_length/test_length_correct/MATH500","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val_response_length/test_length_correct/MATH500__MIN","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val_response_length/test_length_correct/MATH500__MAX","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val_response_length/test_length_correct/MATH500","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val_response_length/test_length_correct/MATH500__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val_response_length/test_length_correct/MATH500__MAX"
"148","248.30864197530863","248.30864197530863","248.30864197530863","566.1479289940828","566.1479289940828","566.1479289940828"
"152","242.5174418604651","242.5174418604651","242.5174418604651","590.1453488372093","590.1453488372093","590.1453488372093"
"156","255.36516853932585","255.36516853932585","255.36516853932585","653.8304093567251","653.8304093567251","653.8304093567251"
"160","214.06179775280899","214.06179775280899","214.06179775280899","593.5232558139535","593.5232558139535","593.5232558139535"
"164","222.8448275862069","222.8448275862069","222.8448275862069","628.7277777777778","628.7277777777778","628.7277777777778"
"168","242.34682080924856","242.34682080924856","242.34682080924856","563.8258426966293","563.8258426966293","563.8258426966293"
"172","226.96951219512195","226.96951219512195","226.96951219512195","691.2178770949721","691.2178770949721","691.2178770949721"
"176","259.7559523809524","259.7559523809524","259.7559523809524","700.3428571428572","700.3428571428572","700.3428571428572"
"180","254.10714285714286","254.10714285714286","254.10714285714286","572.723163841808","572.723163841808","572.723163841808"
"184","239.31976744186048","239.31976744186048","239.31976744186048","540.7058823529412","540.7058823529412","540.7058823529412"
"188","332.4375","332.4375","332.4375","618.6864864864865","618.6864864864865","618.6864864864865"
"192","252.33333333333334","252.33333333333334","252.33333333333334","614.0451977401129","614.0451977401129","614.0451977401129"
"196","231.47904191616766","231.47904191616766","231.47904191616766","609.1284916201117","609.1284916201117","609.1284916201117"
"200","243.9774011299435","243.9774011299435","243.9774011299435","666.9613259668508","666.9613259668508","666.9613259668508"
"204","253.84393063583815","253.84393063583815","253.84393063583815","601.5","601.5","601.5"
"208","276.73595505617976","276.73595505617976","276.73595505617976","618.5280898876405","618.5280898876405","618.5280898876405"
"212","212.7041420118343","212.7041420118343","212.7041420118343","634.9385474860335","634.9385474860335","634.9385474860335"
"216","228.26704545454547","228.26704545454547","228.26704545454547","673.1684782608696","673.1684782608696","673.1684782608696"
"220","261.64204545454544","261.64204545454544","261.64204545454544","659.2241379310345","659.2241379310345","659.2241379310345"
"224","280.16","280.16","280.16","691.4342857142857","691.4342857142857","691.4342857142857"
"228","278.60115606936415","278.60115606936415","278.60115606936415","640.1676300578034","640.1676300578034","640.1676300578034"
