"Step","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val_response_length/test_length_correct/OlympiadBench","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val_response_length/test_length_correct/OlympiadBench__MIN","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val_response_length/test_length_correct/OlympiadBench__MAX","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val_response_length/test_length_correct/OlympiadBench","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val_response_length/test_length_correct/OlympiadBench__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val_response_length/test_length_correct/OlympiadBench__MAX"
"100","272.7142857142857","272.7142857142857","272.7142857142857","676.276923076923","676.276923076923","676.276923076923"
"104","325.55555555555554","325.55555555555554","325.55555555555554","839","839","839"
"108","242.58823529411765","242.58823529411765","242.58823529411765","835.0147058823529","835.0147058823529","835.0147058823529"
"112","420.9344262295082","420.9344262295082","420.9344262295082","963.1038961038961","963.1038961038961","963.1038961038961"
"116","381.8787878787879","381.8787878787879","381.8787878787879","869.0133333333333","869.0133333333333","869.0133333333333"
"120","420.3392857142857","420.3392857142857","420.3392857142857","730.6052631578947","730.6052631578947","730.6052631578947"
"124","332.7704918032787","332.7704918032787","332.7704918032787","731.8205128205128","731.8205128205128","731.8205128205128"
"128","381.7358490566038","381.7358490566038","381.7358490566038","911.931506849315","911.931506849315","911.931506849315"
"132","260.921568627451","260.921568627451","260.921568627451","743","743","743"
"136","382.93220338983053","382.93220338983053","382.93220338983053","982.5714285714286","982.5714285714286","982.5714285714286"
"140","299.5964912280702","299.5964912280702","299.5964912280702","933.1857142857143","933.1857142857143","933.1857142857143"
"144","398.2307692307692","398.2307692307692","398.2307692307692","926.9516129032259","926.9516129032259","926.9516129032259"
"148","322.578125","322.578125","322.578125","950.7027027027027","950.7027027027027","950.7027027027027"
"152","418.04761904761904","418.04761904761904","418.04761904761904","929.2903225806451","929.2903225806451","929.2903225806451"
"156","378.6923076923077","378.6923076923077","378.6923076923077","1140.4027777777778","1140.4027777777778","1140.4027777777778"
"160","315","315","315","1304.7076923076922","1304.7076923076922","1304.7076923076922"
"164","265.05797101449275","265.05797101449275","265.05797101449275","1001.2205882352941","1001.2205882352941","1001.2205882352941"
"168","287.3285714285714","287.3285714285714","287.3285714285714","939.3456790123457","939.3456790123457","939.3456790123457"
"172","304.87142857142857","304.87142857142857","304.87142857142857","1011.9054054054054","1011.9054054054054","1011.9054054054054"
"176","321.61971830985914","321.61971830985914","321.61971830985914","967","967","967"
"180","255.8695652173913","255.8695652173913","255.8695652173913","1084.3815789473683","1084.3815789473683","1084.3815789473683"
"184","384.53521126760563","384.53521126760563","384.53521126760563","912.3734939759037","912.3734939759037","912.3734939759037"
"188","528.25","528.25","528.25","924.0571428571428","924.0571428571428","924.0571428571428"
"192","448.1267605633803","448.1267605633803","448.1267605633803","1036.8481012658228","1036.8481012658228","1036.8481012658228"
"196","377.4923076923077","377.4923076923077","377.4923076923077","1000.5116279069767","1000.5116279069767","1000.5116279069767"
"200","374.94594594594594","374.94594594594594","374.94594594594594","1075.6951219512196","1075.6951219512196","1075.6951219512196"
"204","445.7307692307692","445.7307692307692","445.7307692307692","1024.1927710843374","1024.1927710843374","1024.1927710843374"
"208","319.88732394366195","319.88732394366195","319.88732394366195","974.2337662337662","974.2337662337662","974.2337662337662"
"212","313.07936507936506","313.07936507936506","313.07936507936506","1071.945945945946","1071.945945945946","1071.945945945946"
"216","324.75384615384615","324.75384615384615","324.75384615384615","995.0125","995.0125","995.0125"
"220","404.32758620689657","404.32758620689657","404.32758620689657","977.0759493670886","977.0759493670886","977.0759493670886"
"224","415.1212121212121","415.1212121212121","415.1212121212121","1194.3026315789473","1194.3026315789473","1194.3026315789473"
"228","313","313","313","1138.5","1138.5","1138.5"
"232","304.71232876712327","304.71232876712327","304.71232876712327","1078.7631578947369","1078.7631578947369","1078.7631578947369"
"236","422.64102564102564","422.64102564102564","422.64102564102564","","",""
"240","387.0921052631579","387.0921052631579","387.0921052631579","","",""
"244","361.125","361.125","361.125","","",""
