"Step","rl.grpo_llama.3b_stable.130b_decay.openr1.010.omi2.020_rlctx.4.8k_math.8k_orzbase_0415_1540 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_stable.130b_decay.openr1.010.omi2.020_rlctx.4.8k_math.8k_orzbase_0415_1540 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.010.omi2.020_rlctx.4.8k_math.8k_orzbase_0415_1540 - val_response_length/test_length_correct/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.openr1.015.omi2.015_rlctx.4.8k_math.8k_orzbase_0415_1539 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_stable.130b_decay.openr1.015.omi2.015_rlctx.4.8k_math.8k_orzbase_0415_1539 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.015.omi2.015_rlctx.4.8k_math.8k_orzbase_0415_1539 - val_response_length/test_length_correct/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.openr1.020.omi2.010_rlctx.4.8k_orzbase_math.8k_0415_1537 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_stable.130b_decay.openr1.020.omi2.010_rlctx.4.8k_orzbase_math.8k_0415_1537 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.020.omi2.010_rlctx.4.8k_orzbase_math.8k_0415_1537 - val_response_length/test_length_correct/AMC23__MAX"
"52","779.4285714285714","779.4285714285714","779.4285714285714","773.4444444444445","773.4444444444445","773.4444444444445","767.4545454545455","767.4545454545455","767.4545454545455"
"56","440.3333333333333","440.3333333333333","440.3333333333333","772.5","772.5","772.5","669.8888888888889","669.8888888888889","669.8888888888889"
"60","803.5","803.5","803.5","506.3333333333333","506.3333333333333","506.3333333333333","743.9166666666666","743.9166666666666","743.9166666666666"
"64","946.3","946.3","946.3","929.2857142857143","929.2857142857143","929.2857142857143","931.8181818181819","931.8181818181819","931.8181818181819"
"68","1004.4166666666666","1004.4166666666666","1004.4166666666666","816.8","816.8","816.8","620.1818181818181","620.1818181818181","620.1818181818181"
"72","705.6666666666666","705.6666666666666","705.6666666666666","530.375","530.375","530.375","1056.75","1056.75","1056.75"
"76","748.6","748.6","748.6","584.7","584.7","584.7","858.7777777777778","858.7777777777778","858.7777777777778"
"80","556.375","556.375","556.375","983.5","983.5","983.5","833.0833333333334","833.0833333333334","833.0833333333334"
"84","811.2727272727273","811.2727272727273","811.2727272727273","826.25","826.25","826.25","585.75","585.75","585.75"
"88","763.1428571428571","763.1428571428571","763.1428571428571","1189.7272727272727","1189.7272727272727","1189.7272727272727","535","535","535"
"92","849.7777777777778","849.7777777777778","849.7777777777778","842.6363636363636","842.6363636363636","842.6363636363636","847.2857142857143","847.2857142857143","847.2857142857143"
"96","635.75","635.75","635.75","841.3333333333334","841.3333333333334","841.3333333333334","537.4615384615385","537.4615384615385","537.4615384615385"
"100","688.3333333333334","688.3333333333334","688.3333333333334","596","596","596","1334.923076923077","1334.923076923077","1334.923076923077"
"104","686","686","686","1035.3846153846155","1035.3846153846155","1035.3846153846155","856.6923076923077","856.6923076923077","856.6923076923077"
"108","844.125","844.125","844.125","550.2222222222222","550.2222222222222","550.2222222222222","588.2","588.2","588.2"
"112","551.75","551.75","551.75","891.6923076923077","891.6923076923077","891.6923076923077","593.6","593.6","593.6"
"116","786.1666666666666","786.1666666666666","786.1666666666666","771.3076923076923","771.3076923076923","771.3076923076923","913.1818181818181","913.1818181818181","913.1818181818181"
"120","617.1111111111111","617.1111111111111","617.1111111111111","1385.3333333333333","1385.3333333333333","1385.3333333333333","1964.7272727272727","1964.7272727272727","1964.7272727272727"
"124","903.9166666666666","903.9166666666666","903.9166666666666","1426.2307692307693","1426.2307692307693","1426.2307692307693","1061.3","1061.3","1061.3"
"128","1553.111111111111","1553.111111111111","1553.111111111111","835.8","835.8","835.8","495.7","495.7","495.7"
"132","1185","1185","1185","1299.9166666666667","1299.9166666666667","1299.9166666666667","1136.6","1136.6","1136.6"
"136","1419.2307692307693","1419.2307692307693","1419.2307692307693","1351.7692307692307","1351.7692307692307","1351.7692307692307","834.75","834.75","834.75"
"140","2050","2050","2050","848","848","848","547.4444444444445","547.4444444444445","547.4444444444445"
"144","528","528","528","2407.8571428571427","2407.8571428571427","2407.8571428571427","703.8181818181819","703.8181818181819","703.8181818181819"
"148","1349.090909090909","1349.090909090909","1349.090909090909","852.8333333333334","852.8333333333334","852.8333333333334","863.6","863.6","863.6"
"152","1629.625","1629.625","1629.625","1404.5384615384614","1404.5384615384614","1404.5384615384614","1171.3333333333333","1171.3333333333333","1171.3333333333333"
"156","2350.4","2350.4","2350.4","1492.1818181818182","1492.1818181818182","1492.1818181818182","996.875","996.875","996.875"
"160","726.4545454545455","726.4545454545455","726.4545454545455","1966.4166666666667","1966.4166666666667","1966.4166666666667","430.77777777777777","430.77777777777777","430.77777777777777"
