"Step","rl.grpo_llama.3b_stable.130b_decay.omi.040.10B_math.8k_0413_1104 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_stable.130b_decay.omi.040.10B_math.8k_0413_1104 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.040.10B_math.8k_0413_1104 - val_response_length/test_length_correct/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.omi.030.10B_math.8k_0413_1048 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_stable.130b_decay.omi.030.10B_math.8k_0413_1048 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.030.10B_math.8k_0413_1048 - val_response_length/test_length_correct/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.omi.010.10B_math.8k_0413_0050 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_stable.130b_decay.omi.010.10B_math.8k_0413_0050 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.010.10B_math.8k_0413_0050 - val_response_length/test_length_correct/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.omi.020.10B_math.8k_0413_0050 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_stable.130b_decay.omi.020.10B_math.8k_0413_0050 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.020.10B_math.8k_0413_0050 - val_response_length/test_length_correct/AMC23__MAX"
"172","563.1666666666666","563.1666666666666","563.1666666666666","525.2307692307693","525.2307692307693","525.2307692307693","404.7142857142857","404.7142857142857","404.7142857142857","438.5","438.5","438.5"
"176","529.7272727272727","529.7272727272727","529.7272727272727","644.25","644.25","644.25","244","244","244","472.9166666666667","472.9166666666667","472.9166666666667"
"180","642.2222222222222","642.2222222222222","642.2222222222222","508.9166666666667","508.9166666666667","508.9166666666667","458.5","458.5","458.5","462.45454545454544","462.45454545454544","462.45454545454544"
"184","569.8888888888889","569.8888888888889","569.8888888888889","473.15384615384613","473.15384615384613","473.15384615384613","530.7142857142857","530.7142857142857","530.7142857142857","486.45454545454544","486.45454545454544","486.45454545454544"
"188","573.6666666666666","573.6666666666666","573.6666666666666","466.22222222222223","466.22222222222223","466.22222222222223","392.6666666666667","392.6666666666667","392.6666666666667","324.7","324.7","324.7"
"192","472.9","472.9","472.9","522","522","522","572.6","572.6","572.6","511.44444444444446","511.44444444444446","511.44444444444446"
"196","484","484","484","495.2307692307692","495.2307692307692","495.2307692307692","489.14285714285717","489.14285714285717","489.14285714285717","643.4545454545455","643.4545454545455","643.4545454545455"
"200","403.1818181818182","403.1818181818182","403.1818181818182","584","584","584","459.7","459.7","459.7","413.375","413.375","413.375"
"204","316.8888888888889","316.8888888888889","316.8888888888889","444.3333333333333","444.3333333333333","444.3333333333333","569.75","569.75","569.75","633","633","633"
"208","411.22222222222223","411.22222222222223","411.22222222222223","505","505","505","398.1","398.1","398.1","411.1818181818182","411.1818181818182","411.1818181818182"
"212","520.7692307692307","520.7692307692307","520.7692307692307","489.9","489.9","489.9","485","485","485","441","441","441"
"216","432.09090909090907","432.09090909090907","432.09090909090907","476.1818181818182","476.1818181818182","476.1818181818182","693.5714285714286","693.5714285714286","693.5714285714286","386.9230769230769","386.9230769230769","386.9230769230769"
"220","596.3076923076923","596.3076923076923","596.3076923076923","456.75","456.75","456.75","543.7","543.7","543.7","509.4166666666667","509.4166666666667","509.4166666666667"
"224","456.7692307692308","456.7692307692308","456.7692307692308","426.72727272727275","426.72727272727275","426.72727272727275","497","497","497","401","401","401"
"228","410.8181818181818","410.8181818181818","410.8181818181818","395.125","395.125","395.125","501.22222222222223","501.22222222222223","501.22222222222223","419.09090909090907","419.09090909090907","419.09090909090907"
"232","502.77777777777777","502.77777777777777","502.77777777777777","460.22222222222223","460.22222222222223","460.22222222222223","667.1","667.1","667.1","434.2","434.2","434.2"
