"Step","rl.grpo_llama.3b_stable.130b_decay.omi.040.10B_math.8k_0413_1104 - val/test_score/AMC23","rl.grpo_llama.3b_stable.130b_decay.omi.040.10B_math.8k_0413_1104 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.040.10B_math.8k_0413_1104 - val/test_score/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.omi.030.10B_math.8k_0413_1048 - val/test_score/AMC23","rl.grpo_llama.3b_stable.130b_decay.omi.030.10B_math.8k_0413_1048 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.030.10B_math.8k_0413_1048 - val/test_score/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.omi.010.10B_math.8k_0413_0050 - val/test_score/AMC23","rl.grpo_llama.3b_stable.130b_decay.omi.010.10B_math.8k_0413_0050 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.010.10B_math.8k_0413_0050 - val/test_score/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.omi.020.10B_math.8k_0413_0050 - val/test_score/AMC23","rl.grpo_llama.3b_stable.130b_decay.omi.020.10B_math.8k_0413_0050 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.020.10B_math.8k_0413_0050 - val/test_score/AMC23__MAX"
"404","0.175","0.175","0.175","0.3","0.3","0.3","0.2","0.2","0.2","0.275","0.275","0.275"
"408","0.275","0.275","0.275","0.275","0.275","0.275","0.275","0.275","0.275","0.275","0.275","0.275"
"412","0.375","0.375","0.375","0.275","0.275","0.275","0.375","0.375","0.375","0.275","0.275","0.275"
"416","0.275","0.275","0.275","0.3","0.3","0.3","0.2","0.2","0.2","0.225","0.225","0.225"
"420","0.25","0.25","0.25","0.275","0.275","0.275","0.225","0.225","0.225","0.25","0.25","0.25"
"424","0.3","0.3","0.3","0.325","0.325","0.325","0.225","0.225","0.225","0.25","0.25","0.25"
"428","0.225","0.225","0.225","0.325","0.325","0.325","0.275","0.275","0.275","0.25","0.25","0.25"
"432","0.25","0.25","0.25","0.3","0.3","0.3","0.275","0.275","0.275","0.3","0.3","0.3"
"436","0.275","0.275","0.275","0.325","0.325","0.325","0.25","0.25","0.25","0.225","0.225","0.225"
"440","0.35","0.35","0.35","0.225","0.225","0.225","0.25","0.25","0.25","0.325","0.325","0.325"
"444","0.275","0.275","0.275","0.2","0.2","0.2","0.15","0.15","0.15","0.275","0.275","0.275"
"448","0.3","0.3","0.3","0.25","0.25","0.25","0.125","0.125","0.125","0.325","0.325","0.325"
"452","0.3","0.3","0.3","0.3","0.3","0.3","0.225","0.225","0.225","0.3","0.3","0.3"
"456","0.275","0.275","0.275","0.325","0.325","0.325","0.25","0.25","0.25","0.3","0.3","0.3"
"460","0.3","0.3","0.3","0.275","0.275","0.275","0.225","0.225","0.225","0.3","0.3","0.3"
"464","0.3","0.3","0.3","0.375","0.375","0.375","0.2","0.2","0.2","0.3","0.3","0.3"
"468","0.225","0.225","0.225","0.4","0.4","0.4","0.225","0.225","0.225","0.275","0.275","0.275"
"472","0.225","0.225","0.225","0.35","0.35","0.35","0.175","0.175","0.175","0.275","0.275","0.275"
"476","0.275","0.275","0.275","0.275","0.275","0.275","0.225","0.225","0.225","0.325","0.325","0.325"
"480","0.275","0.275","0.275","0.3","0.3","0.3","0.225","0.225","0.225","0.275","0.275","0.275"
"484","0.275","0.275","0.275","0.275","0.275","0.275","","","","0.375","0.375","0.375"
"488","0.275","0.275","0.275","0.3","0.3","0.3","","","","0.25","0.25","0.25"
"492","0.275","0.275","0.275","0.275","0.275","0.275","","","","0.275","0.275","0.275"
"496","0.3","0.3","0.3","0.35","0.35","0.35","","","","","",""
"500","0.3","0.3","0.3","0.3","0.3","0.3","","","","","",""
"504","0.35","0.35","0.35","0.35","0.35","0.35","","","","","",""
"508","0.25","0.25","0.25","0.325","0.325","0.325","","","","","",""
"512","0.325","0.325","0.325","0.275","0.275","0.275","","","","","",""
"516","0.35","0.35","0.35","0.325","0.325","0.325","","","","","",""
"520","0.275","0.275","0.275","0.375","0.375","0.375","","","","","",""
"524","0.275","0.275","0.275","0.4","0.4","0.4","","","","","",""
"528","0.35","0.35","0.35","0.3","0.3","0.3","","","","","",""
"532","0.3","0.3","0.3","0.35","0.35","0.35","","","","","",""
"536","0.35","0.35","0.35","0.375","0.375","0.375","","","","","",""
"540","0.4","0.4","0.4","0.325","0.325","0.325","","","","","",""
"544","0.35","0.35","0.35","0.275","0.275","0.275","","","","","",""
"548","0.325","0.325","0.325","0.325","0.325","0.325","","","","","",""
"552","0.3","0.3","0.3","0.325","0.325","0.325","","","","","",""
"556","0.35","0.35","0.35","0.275","0.275","0.275","","","","","",""
"560","0.375","0.375","0.375","0.325","0.325","0.325","","","","","",""
"564","0.275","0.275","0.275","0.4","0.4","0.4","","","","","",""
"568","0.275","0.275","0.275","0.275","0.275","0.275","","","","","",""
"572","0.275","0.275","0.275","0.325","0.325","0.325","","","","","",""
"576","0.275","0.275","0.275","0.375","0.375","0.375","","","","","",""
"580","0.35","0.35","0.35","0.4","0.4","0.4","","","","","",""
"584","0.275","0.275","0.275","0.45","0.45","0.45","","","","","",""
"588","0.275","0.275","0.275","0.425","0.425","0.425","","","","","",""
"592","0.275","0.275","0.275","0.3","0.3","0.3","","","","","",""
"596","0.275","0.275","0.275","0.4","0.4","0.4","","","","","",""
"600","0.275","0.275","0.275","0.4","0.4","0.4","","","","","",""
"604","0.275","0.275","0.275","0.35","0.35","0.35","","","","","",""
"608","0.35","0.35","0.35","0.325","0.325","0.325","","","","","",""
"612","0.3","0.3","0.3","0.375","0.375","0.375","","","","","",""
"616","0.275","0.275","0.275","0.325","0.325","0.325","","","","","",""
"620","0.25","0.25","0.25","0.4","0.4","0.4","","","","","",""
"624","0.3","0.3","0.3","0.375","0.375","0.375","","","","","",""
"628","0.325","0.325","0.325","0.425","0.425","0.425","","","","","",""
"632","0.325","0.325","0.325","0.375","0.375","0.375","","","","","",""
"636","0.3","0.3","0.3","0.325","0.325","0.325","","","","","",""
"640","0.225","0.225","0.225","0.35","0.35","0.35","","","","","",""
"644","0.25","0.25","0.25","0.375","0.375","0.375","","","","","",""
"648","0.2","0.2","0.2","0.3","0.3","0.3","","","","","",""
"652","0.35","0.35","0.35","0.35","0.35","0.35","","","","","",""
"656","0.325","0.325","0.325","0.35","0.35","0.35","","","","","",""
"660","0.3","0.3","0.3","0.325","0.325","0.325","","","","","",""
"664","0.25","0.25","0.25","0.375","0.375","0.375","","","","","",""
"668","0.325","0.325","0.325","0.425","0.425","0.425","","","","","",""
"672","0.225","0.225","0.225","0.35","0.35","0.35","","","","","",""
"676","0.375","0.375","0.375","0.35","0.35","0.35","","","","","",""
"680","0.3","0.3","0.3","0.325","0.325","0.325","","","","","",""
"684","0.3","0.3","0.3","0.35","0.35","0.35","","","","","",""
"688","0.3","0.3","0.3","0.425","0.425","0.425","","","","","",""
"692","0.35","0.35","0.35","0.4","0.4","0.4","","","","","",""
"696","0.35","0.35","0.35","0.35","0.35","0.35","","","","","",""
