"Step","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val_response_length/test_length_correct/AMC23__MAX","rl.grpo_llama.3b_mmwebpro.synqa.ins.89101_math.8k_0410_1935 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_mmwebpro.synqa.ins.89101_math.8k_0410_1935 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_mmwebpro.synqa.ins.89101_math.8k_0410_1935 - val_response_length/test_length_correct/AMC23__MAX"
"156","840.5","840.5","840.5","333.2","333.2","333.2"
"160","321.2857142857143","321.2857142857143","321.2857142857143","469.8","469.8","469.8"
"164","262.57142857142856","262.57142857142856","262.57142857142856","332.85714285714283","332.85714285714283","332.85714285714283"
"168","222","222","222","483.6666666666667","483.6666666666667","483.6666666666667"
"172","424.6666666666667","424.6666666666667","424.6666666666667","353.8","353.8","353.8"
"176","307","307","307","419.8888888888889","419.8888888888889","419.8888888888889"
"180","368.6","368.6","368.6","607.4285714285714","607.4285714285714","607.4285714285714"
"184","404.5","404.5","404.5","693.6666666666666","693.6666666666666","693.6666666666666"
"188","593","593","593","905.75","905.75","905.75"
"192","225","225","225","279.6","279.6","279.6"
"196","384.75","384.75","384.75","386.8","386.8","386.8"
"200","633","633","633","403.6666666666667","403.6666666666667","403.6666666666667"
"204","198.16666666666666","198.16666666666666","198.16666666666666","932.8571428571429","932.8571428571429","932.8571428571429"
"208","308.1666666666667","308.1666666666667","308.1666666666667","373.8","373.8","373.8"
"212","429","429","429","933.1666666666666","933.1666666666666","933.1666666666666"
"216","267","267","267","631.4285714285714","631.4285714285714","631.4285714285714"
"220","290.8","290.8","290.8","333.5","333.5","333.5"
"224","537","537","537","331.14285714285717","331.14285714285717","331.14285714285717"
"228","301","301","301","442","442","442"
"232","296.57142857142856","296.57142857142856","296.57142857142856","1684.142857142857","1684.142857142857","1684.142857142857"
"236","403.75","403.75","403.75","829.6666666666666","829.6666666666666","829.6666666666666"
"240","318.6666666666667","318.6666666666667","318.6666666666667","476.625","476.625","476.625"
"244","574","574","574","695.625","695.625","695.625"
"248","446.5","446.5","446.5","1162.888888888889","1162.888888888889","1162.888888888889"
"252","304.3333333333333","304.3333333333333","304.3333333333333","1210.2","1210.2","1210.2"
"256","421.8333333333333","421.8333333333333","421.8333333333333","652.8571428571429","652.8571428571429","652.8571428571429"
"260","","","","546.4","546.4","546.4"
"264","","","","1530.2857142857142","1530.2857142857142","1530.2857142857142"
"268","","","","1249.5714285714287","1249.5714285714287","1249.5714285714287"
"272","","","","997.5714285714286","997.5714285714286","997.5714285714286"
"276","","","","612.1428571428571","612.1428571428571","612.1428571428571"
"280","","","","1106","1106","1106"
"284","","","","1282.6666666666667","1282.6666666666667","1282.6666666666667"
"288","","","","639.1428571428571","639.1428571428571","639.1428571428571"
"292","","","","1080.875","1080.875","1080.875"
"296","","","","431.3333333333333","431.3333333333333","431.3333333333333"
"300","","","","602.75","602.75","602.75"
"304","","","","419","419","419"
"308","","","","1132.625","1132.625","1132.625"
"312","","","","1773.6","1773.6","1773.6"
"316","","","","673.875","673.875","673.875"
"320","","","","682.3333333333334","682.3333333333334","682.3333333333334"
"324","","","","572.4285714285714","572.4285714285714","572.4285714285714"
"328","","","","603.5","603.5","603.5"
"332","","","","2873.285714285714","2873.285714285714","2873.285714285714"
"336","","","","583.6","583.6","583.6"
"340","","","","2534.8","2534.8","2534.8"
"344","","","","2037.625","2037.625","2037.625"
"348","","","","1487.25","1487.25","1487.25"
"352","","","","2679.1666666666665","2679.1666666666665","2679.1666666666665"
"356","","","","1813.25","1813.25","1813.25"
"360","","","","822.5","822.5","822.5"
