"Step","rl.grpo_llama.3b_decay_short.20B_math.8k_0422_1123 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_decay_short.20B_math.8k_0422_1123 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_decay_short.20B_math.8k_0422_1123 - val_response_length/test_length_correct/AMC23__MAX","rl.grpo_llama.3b_decay_long.short.mix.20B_math.8k_0421_1810 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_decay_long.short.mix.20B_math.8k_0421_1810 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_decay_long.short.mix.20B_math.8k_0421_1810 - val_response_length/test_length_correct/AMC23__MAX","rl.grpo_llama.3b_decay_long.20B_math.8k_0421_1332 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_decay_long.20B_math.8k_0421_1332 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_decay_long.20B_math.8k_0421_1332 - val_response_length/test_length_correct/AMC23__MAX"
"64","648.5","648.5","648.5","562","562","562","1203.8461538461538","1203.8461538461538","1203.8461538461538"
"68","569.3846153846154","569.3846153846154","569.3846153846154","620.8","620.8","620.8","1281.9285714285713","1281.9285714285713","1281.9285714285713"
"72","537.3333333333334","537.3333333333334","537.3333333333334","562","562","562","1215","1215","1215"
"76","577","577","577","568.2307692307693","568.2307692307693","568.2307692307693","1196.4","1196.4","1196.4"
"80","560.1538461538462","560.1538461538462","560.1538461538462","543.6923076923077","543.6923076923077","543.6923076923077","1338.8823529411766","1338.8823529411766","1338.8823529411766"
"84","425.8888888888889","425.8888888888889","425.8888888888889","462.53846153846155","462.53846153846155","462.53846153846155","1237.1666666666667","1237.1666666666667","1237.1666666666667"
"88","554.7","554.7","554.7","763.3076923076923","763.3076923076923","763.3076923076923","1190","1190","1190"
"92","476.72727272727275","476.72727272727275","476.72727272727275","686.6111111111111","686.6111111111111","686.6111111111111","1288.4666666666667","1288.4666666666667","1288.4666666666667"
"96","555.1","555.1","555.1","703.4","703.4","703.4","1292.6153846153845","1292.6153846153845","1292.6153846153845"
"100","705.5833333333334","705.5833333333334","705.5833333333334","646.1538461538462","646.1538461538462","646.1538461538462","1571.2","1571.2","1571.2"
"104","455.6666666666667","455.6666666666667","455.6666666666667","712.4285714285714","712.4285714285714","712.4285714285714","1663.4117647058824","1663.4117647058824","1663.4117647058824"
"108","567.25","567.25","567.25","488.7692307692308","488.7692307692308","488.7692307692308","1349","1349","1349"
"112","561","561","561","615.8571428571429","615.8571428571429","615.8571428571429","1563.357142857143","1563.357142857143","1563.357142857143"
"116","588.5","588.5","588.5","549.6666666666666","549.6666666666666","549.6666666666666","1524.1666666666667","1524.1666666666667","1524.1666666666667"
"120","482.8888888888889","482.8888888888889","482.8888888888889","867.8947368421053","867.8947368421053","867.8947368421053","1946.5","1946.5","1946.5"
"124","658.4","658.4","658.4","560.4285714285714","560.4285714285714","560.4285714285714","1199.4375","1199.4375","1199.4375"
"128","590.25","590.25","590.25","653.0909090909091","653.0909090909091","653.0909090909091","1179.4545454545455","1179.4545454545455","1179.4545454545455"
"132","521.2222222222222","521.2222222222222","521.2222222222222","657.1764705882352","657.1764705882352","657.1764705882352","1665.9375","1665.9375","1665.9375"
"136","787.2727272727273","787.2727272727273","787.2727272727273","867.875","867.875","867.875","1313.375","1313.375","1313.375"
"140","620.3636363636364","620.3636363636364","620.3636363636364","661.2307692307693","661.2307692307693","661.2307692307693","1986","1986","1986"
"144","476","476","476","734.0909090909091","734.0909090909091","734.0909090909091","1363.6","1363.6","1363.6"
"148","550.6153846153846","550.6153846153846","550.6153846153846","595.125","595.125","595.125","1603.111111111111","1603.111111111111","1603.111111111111"
"152","574.0909090909091","574.0909090909091","574.0909090909091","665.7857142857143","665.7857142857143","665.7857142857143","1375.4117647058824","1375.4117647058824","1375.4117647058824"
"156","561.75","561.75","561.75","753.2857142857143","753.2857142857143","753.2857142857143","1588.7368421052631","1588.7368421052631","1588.7368421052631"
"160","568.8333333333334","568.8333333333334","568.8333333333334","632.2142857142857","632.2142857142857","632.2142857142857","1372","1372","1372"
"164","599.0909090909091","599.0909090909091","599.0909090909091","604.5833333333334","604.5833333333334","604.5833333333334","1456.8125","1456.8125","1456.8125"
"168","579.8333333333334","579.8333333333334","579.8333333333334","782.75","782.75","782.75","1727.8235294117646","1727.8235294117646","1727.8235294117646"
"172","571.7692307692307","571.7692307692307","571.7692307692307","454.9","454.9","454.9","1786.8","1786.8","1786.8"
