"Step","rl.grpo_llama.3b_decay_short.20B_math.8k_0422_1123 - val/test_score/AMC23","rl.grpo_llama.3b_decay_short.20B_math.8k_0422_1123 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_decay_short.20B_math.8k_0422_1123 - val/test_score/AMC23__MAX","rl.grpo_llama.3b_decay_long.short.mix.20B_math.8k_0421_1810 - val/test_score/AMC23","rl.grpo_llama.3b_decay_long.short.mix.20B_math.8k_0421_1810 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_decay_long.short.mix.20B_math.8k_0421_1810 - val/test_score/AMC23__MAX","rl.grpo_llama.3b_decay_long.20B_math.8k_0421_1332 - val/test_score/AMC23","rl.grpo_llama.3b_decay_long.20B_math.8k_0421_1332 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_decay_long.20B_math.8k_0421_1332 - val/test_score/AMC23__MAX"
"448","0.325","0.325","0.325","0.225","0.225","0.225","","",""
"452","0.25","0.25","0.25","0.35","0.35","0.35","","",""
"456","0.225","0.225","0.225","0.3","0.3","0.3","","",""
"460","0.275","0.275","0.275","0.35","0.35","0.35","","",""
"464","0.225","0.225","0.225","0.25","0.25","0.25","","",""
"468","0.275","0.275","0.275","0.3","0.3","0.3","","",""
"472","0.325","0.325","0.325","0.2","0.2","0.2","","",""
"476","0.375","0.375","0.375","0.25","0.25","0.25","","",""
"480","0.35","0.35","0.35","0.325","0.325","0.325","","",""
"484","0.3","0.3","0.3","0.3","0.3","0.3","","",""
"488","0.35","0.35","0.35","0.225","0.225","0.225","","",""
"492","0.25","0.25","0.25","0.275","0.275","0.275","","",""
"496","0.325","0.325","0.325","0.25","0.25","0.25","","",""
"500","0.375","0.375","0.375","0.3","0.3","0.3","","",""
"504","0.4","0.4","0.4","0.225","0.225","0.225","","",""
"508","0.3","0.3","0.3","0.325","0.325","0.325","","",""
"512","0.325","0.325","0.325","0.3","0.3","0.3","","",""
"516","0.325","0.325","0.325","0.35","0.35","0.35","","",""
"520","0.3","0.3","0.3","0.325","0.325","0.325","","",""
"524","0.45","0.45","0.45","0.325","0.325","0.325","","",""
"528","0.325","0.325","0.325","0.3","0.3","0.3","","",""
"532","0.35","0.35","0.35","0.35","0.35","0.35","","",""
"536","0.3","0.3","0.3","0.35","0.35","0.35","","",""
"540","0.3","0.3","0.3","0.3","0.3","0.3","","",""
"544","0.35","0.35","0.35","0.325","0.325","0.325","","",""
"548","0.325","0.325","0.325","0.325","0.325","0.325","","",""
"552","0.325","0.325","0.325","0.4","0.4","0.4","","",""
"556","0.3","0.3","0.3","0.45","0.45","0.45","","",""
"560","0.25","0.25","0.25","0.4","0.4","0.4","","",""
"564","0.225","0.225","0.225","0.35","0.35","0.35","","",""
"568","0.325","0.325","0.325","0.375","0.375","0.375","","",""
"572","0.25","0.25","0.25","0.375","0.375","0.375","","",""
"576","0.3","0.3","0.3","0.275","0.275","0.275","","",""
"580","0.325","0.325","0.325","0.35","0.35","0.35","","",""
"584","0.325","0.325","0.325","0.3","0.3","0.3","","",""
"588","0.325","0.325","0.325","0.35","0.35","0.35","","",""
"592","0.325","0.325","0.325","0.3","0.3","0.3","","",""
"596","0.275","0.275","0.275","0.375","0.375","0.375","","",""
"600","0.35","0.35","0.35","0.3","0.3","0.3","","",""
"604","0.25","0.25","0.25","0.35","0.35","0.35","","",""
"608","","","","0.35","0.35","0.35","","",""
"612","","","","0.425","0.425","0.425","","",""
"616","","","","0.475","0.475","0.475","","",""
"620","","","","0.375","0.375","0.375","","",""
"624","","","","0.4","0.4","0.4","","",""
"628","","","","0.35","0.35","0.35","","",""
"632","","","","0.35","0.35","0.35","","",""
"636","","","","0.375","0.375","0.375","","",""
"640","","","","0.35","0.35","0.35","","",""
"644","","","","0.425","0.425","0.425","","",""
"648","","","","0.35","0.35","0.35","","",""
"652","","","","0.325","0.325","0.325","","",""
"656","","","","0.325","0.325","0.325","","",""
"660","","","","0.325","0.325","0.325","","",""
"664","","","","0.35","0.35","0.35","","",""
"668","","","","0.325","0.325","0.325","","",""
